gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,internal math marks,internal reading marks,internal writing marks
female,group E,high school,standard,none,65,77,80,20,23,24
female,group C,some college,standard,none,60,87,53,18,26,16
female,group C,some high school,free/reduced,none,40,92,48,12,28,14
female,group C,high school,free/reduced,none,65,87,29,20,26,9
female,group C,some college,standard,none,54,80,39,16,24,12
male,group C,some college,standard,none,84,80,62,25,24,19
male,group A,some college,free/reduced,none,73,70,63,22,21,19
male,group C,associate's degree,standard,completed,61,77,80,18,23,24
female,group B,some high school,standard,none,83,74,67,25,22,20
male,group C,high school,standard,none,70,100,65,21,30,20
male,group C,associate's degree,standard,none,70,74,55,21,22,16
male,group E,associate's degree,standard,completed,90,48,48,27,14,14
male,group B,associate's degree,standard,none,58,89,70,17,27,21
female,group C,bachelor's degree,standard,none,57,84,98,17,25,29
female,group B,some college,free/reduced,none,41,82,34,12,25,10
male,group D,some high school,standard,completed,48,65,83,14,20,25
male,group C,associate's degree,standard,none,85,61,51,26,18,15
female,group B,some high school,free/reduced,none,71,67,69,21,20,21
female,group D,some high school,free/reduced,completed,75,60,77,22,18,23
male,group C,high school,free/reduced,none,72,71,50,22,21,15
female,group C,high school,standard,none,83,77,52,25,23,16
female,group B,high school,standard,completed,66,82,48,20,25,14
male,group D,associate's degree,standard,completed,61,83,61,18,25,18
male,group D,some college,standard,none,83,58,49,25,17,15
female,group C,high school,standard,none,59,62,44,18,19,13
male,group B,some college,standard,none,79,58,65,24,17,20
female,group C,bachelor's degree,standard,completed,59,72,73,18,22,22
male,group D,high school,free/reduced,none,55,49,95,16,15,28
male,group E,associate's degree,standard,none,78,62,98,23,19,29
female,group B,bachelor's degree,standard,none,52,73,93,16,22,28
male,group E,some college,standard,none,96,80,80,29,24,24
female,group C,some college,standard,completed,60,63,79,18,19,24
female,group C,associate's degree,standard,none,86,90,74,26,27,22
female,group C,some college,standard,none,77,89,47,23,27,14
female,group B,bachelor's degree,standard,none,46,72,42,14,22,13
male,group A,associate's degree,standard,none,52,73,79,16,22,24
female,group C,some college,free/reduced,completed,91,45,60,27,14,18
male,group D,some college,free/reduced,none,48,81,93,14,24,28
female,group D,some college,standard,none,72,60,61,22,18,18
female,group B,high school,standard,none,74,80,53,22,24,16
male,group B,some high school,standard,completed,84,67,80,25,20,24
female,group C,some college,standard,none,53,65,83,16,20,25
female,group D,some high school,free/reduced,none,68,64,58,20,19,17
male,group C,some college,standard,none,55,65,74,16,20,22
male,group A,bachelor's degree,free/reduced,completed,71,77,98,21,23,29
male,group C,high school,standard,completed,62,85,69,19,26,21
male,group C,bachelor's degree,free/reduced,none,46,70,69,14,21,21
female,group A,some high school,free/reduced,none,60,91,87,18,27,26
female,group D,some high school,standard,none,99,90,59,30,27,18
male,group E,some college,standard,none,68,63,81,20,19,24
female,group C,some college,free/reduced,completed,52,92,57,16,28,17
male,group D,some high school,standard,none,81,60,45,24,18,14
female,group D,some college,standard,completed,94,67,74,28,20,22
female,group D,bachelor's degree,standard,none,66,62,82,20,19,25
male,group E,associate's degree,free/reduced,none,66,61,70,20,18,21
female,group D,some high school,standard,none,61,77,82,18,23,25
female,group D,master's degree,free/reduced,completed,66,71,71,20,21,21
female,group A,some high school,standard,none,76,64,80,23,19,24
male,group A,bachelor's degree,standard,none,57,92,100,17,28,30
female,group B,associate's degree,standard,none,68,47,61,20,14,18
male,group C,associate's degree,standard,completed,74,69,87,22,21,26
male,group C,master's degree,free/reduced,none,79,58,80,24,17,24
female,group E,some high school,free/reduced,none,63,57,78,19,17,23
female,group A,some high school,free/reduced,none,47,56,91,14,17,27
female,group E,some college,standard,none,63,56,77,19,17,23
female,group E,bachelor's degree,standard,none,57,60,78,17,18,23
female,group C,associate's degree,free/reduced,none,89,72,60,27,22,18
female,group D,high school,standard,none,59,73,47,18,22,14
male,group D,master's degree,standard,none,76,99,38,23,30,11
male,group E,some high school,free/reduced,completed,62,75,58,19,22,17
female,group D,some college,standard,none,70,69,70,21,21,21
male,group E,some college,standard,none,85,85,49,26,26,15
male,group C,associate's degree,standard,completed,52,67,69,16,20,21
female,group C,some high school,standard,completed,61,63,65,18,19,20
male,group A,high school,free/reduced,none,97,50,54,29,15,16
female,group B,high school,free/reduced,none,42,68,51,13,20,15
female,group C,associate's degree,standard,none,41,74,56,12,22,17
male,group B,some high school,standard,none,58,56,81,17,17,24
male,group D,some high school,standard,none,64,71,57,19,21,17
female,group C,some high school,standard,completed,57,91,89,17,27,27
male,group A,some college,standard,none,69,70,60,21,21,18
female,group A,some college,free/reduced,none,70,78,81,21,23,24
female,group D,high school,standard,completed,61,98,49,18,29,15
female,group C,high school,standard,none,71,58,66,21,17,20
female,group C,some high school,standard,none,62,89,64,19,27,19
male,group B,associate's degree,standard,completed,84,93,79,25,28,24
female,group B,associate's degree,standard,none,68,89,73,20,27,22
female,group D,high school,free/reduced,completed,59,72,71,18,22,21
male,group D,associate's degree,standard,completed,70,82,88,21,25,26
female,group D,master's degree,standard,completed,55,67,77,16,20,23
male,group E,some college,standard,completed,79,75,54,24,22,16
male,group D,associate's degree,standard,none,80,45,47,24,14,14
male,group B,some high school,standard,completed,57,74,83,17,22,25
female,group C,bachelor's degree,free/reduced,completed,83,85,68,25,26,20
male,group E,high school,standard,none,44,72,47,13,22,14
male,group C,bachelor's degree,standard,completed,67,87,65,20,26,20
male,group C,associate's degree,standard,none,47,75,82,14,22,25
male,group D,some college,standard,none,70,67,52,21,20,16
male,group E,high school,free/reduced,completed,74,67,69,22,20,21
female,group C,associate's degree,free/reduced,completed,93,45,80,28,14,24
female,group D,high school,standard,completed,59,62,42,18,19,13
female,group D,master's degree,free/reduced,completed,66,51,81,20,15,24
female,group A,some high school,standard,completed,63,63,56,19,19,17
male,group B,some college,free/reduced,none,70,64,59,21,19,18
female,group C,some college,free/reduced,none,57,68,100,17,20,30
male,group C,bachelor's degree,standard,none,63,53,84,19,16,25
male,group C,some high school,free/reduced,none,86,58,69,26,17,21
male,group A,some high school,free/reduced,none,67,76,34,20,23,10
male,group C,some high school,free/reduced,none,67,52,84,20,16,25
male,group C,associate's degree,free/reduced,none,92,77,54,28,23,16
female,group C,high school,standard,none,82,79,86,25,24,26
male,group C,high school,standard,none,56,32,84,17,10,25
female,group A,some high school,free/reduced,none,84,53,84,25,16,25
male,group C,some high school,standard,none,91,61,40,27,18,12
male,group C,some college,free/reduced,completed,35,53,80,10,16,24
male,group D,associate's degree,standard,none,72,48,45,22,14,14
male,group D,associate's degree,free/reduced,none,98,65,61,29,20,18
male,group C,high school,standard,none,70,61,61,21,18,18
male,group D,some high school,standard,completed,54,64,100,16,19,30
female,group C,some college,standard,completed,57,61,78,17,18,23
female,group D,high school,standard,none,71,87,68,21,26,20
female,group A,some high school,free/reduced,none,52,82,96,16,25,29
female,group B,associate's degree,standard,none,61,93,100,18,28,30
male,group A,some high school,free/reduced,none,88,71,39,26,21,12
female,group C,some high school,standard,completed,59,73,65,18,22,20
male,group D,some college,free/reduced,none,62,50,71,19,15,21
male,group C,high school,standard,completed,66,90,70,20,27,21
male,group B,high school,standard,none,62,65,77,19,20,23
male,group B,associate's degree,standard,none,48,35,49,14,10,15
female,group C,some college,free/reduced,completed,52,41,77,16,12,23
female,group E,some college,standard,none,72,81,62,22,24,19
female,group C,associate's degree,free/reduced,none,88,85,59,26,26,18
male,group C,some college,free/reduced,none,79,84,67,24,25,20
female,group C,associate's degree,free/reduced,none,47,63,51,14,19,15
male,group C,bachelor's degree,free/reduced,none,79,81,96,24,24,29
female,group D,bachelor's degree,standard,none,52,60,76,16,18,23
male,group D,associate's degree,free/reduced,none,59,92,60,18,28,18
female,group E,bachelor's degree,standard,none,73,75,60,22,22,18
male,group B,high school,standard,completed,45,61,56,14,18,17
male,group C,bachelor's degree,free/reduced,none,79,75,64,24,22,19
male,group B,some college,free/reduced,none,62,82,76,19,25,23
female,group E,some college,standard,none,41,92,78,12,28,23
female,group C,some college,free/reduced,none,68,65,73,20,20,22
male,group A,bachelor's degree,standard,completed,66,63,78,20,19,23
female,group C,some college,standard,none,84,63,52,25,19,16
female,group D,associate's degree,free/reduced,none,51,57,50,15,17,15
male,group A,high school,free/reduced,completed,50,49,70,15,15,21
female,group A,high school,free/reduced,completed,79,79,76,24,24,23
male,group C,some college,standard,none,63,86,48,19,26,14
female,group C,associate's degree,standard,completed,66,60,65,20,18,20
female,group C,high school,standard,none,81,71,74,24,21,22
female,group C,associate's degree,standard,completed,81,60,98,24,18,29
female,group D,some high school,standard,none,63,69,81,19,21,24
female,group B,associate's degree,standard,completed,51,52,56,15,16,17
female,group D,bachelor's degree,standard,completed,55,42,96,16,13,29
male,group E,bachelor's degree,standard,completed,79,94,84,24,28,25
male,group D,associate's degree,standard,none,65,56,68,20,17,20
female,group D,master's degree,standard,none,74,70,52,22,21,16
male,group E,associate's degree,standard,none,100,68,43,30,20,13
male,group B,high school,standard,completed,81,66,87,24,20,26
female,group D,associate's degree,free/reduced,none,93,83,58,28,25,17
male,group C,some college,free/reduced,none,66,100,56,20,30,17
male,group A,high school,standard,none,46,66,62,14,20,19
female,group B,associate's degree,standard,none,79,73,82,24,22,25
male,group C,high school,standard,none,64,58,68,19,17,20
male,group D,some college,free/reduced,none,82,70,41,25,21,12
female,group C,associate's degree,free/reduced,none,77,91,68,23,27,20
male,group B,some high school,standard,completed,77,77,76,23,23,23
male,group A,associate's degree,free/reduced,completed,62,63,71,19,19,21
female,group A,associate's degree,free/reduced,none,64,42,76,19,13,23
female,group C,associate's degree,standard,none,42,100,64,13,30,19
female,group C,some college,standard,none,78,14,74,23,4,22
female,group C,bachelor's degree,standard,none,77,50,42,23,15,13
female,group B,high school,standard,none,94,52,84,28,16,25
male,group D,high school,standard,completed,70,81,43,21,24,13
